player,total_passes,total_completed,total_uncompleted,total_percentage%,f3_passes,f3_completed,f3_uncompleted,f3_percentage%,short_passes,short_completed,short_uncompleted,short_percentage%,long_passes,long_completed,long_uncompleted,long_percentage%,average_pass_length,crosses,crosses_completed,crosses_uncompleted,crosses_percentage%,total_shot_assists,total_goal_assists,dribbles,dribbles_completed,dribbles_f3,dribbles_f3_completed,fouls_won,team,MP,competition,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,recoveries,duels,duels_won,fouls_committed,shot_blocked,clearances,pressure,interceptions,total_goals_against,penalty_goals_against,penalty_saves,non_penalty_goals_against,penalty_onTarget_attempts,penalty_saves_percentage%,shot_onTarget_saved,save%,save_both_hands,save_chest,save_head,save_left_foot,save_left_hand,right_foot,save_right_hand,position,group
Aleksandar Pantić,530,338,192,63.77358490566037,82,28,54,34.146341463414636,186,163,23,87.63440860215054,107,30,77,28.037383177570092,23.113933218224147,0,0,0,0.0,1,0,3,2,1,1,1,Eibar,20,Spain - La Liga,10,1,5,0,2,0,0.848193873,10.0,0.0,0.0,0.08481938730000001,66,70,12,27,25,112,126,45,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Back,Defenders
Alen Halilović,885,673,212,76.045197740113,134,99,35,73.88059701492537,559,469,90,83.89982110912342,116,66,50,56.896551724137936,18.1921612291021,34,16,18,47.05882352941176,23,5,131,71,63,28,59,Sporting Gijón,36,Spain - La Liga,59,13,25,0,20,3,4.2026200345,22.033898305084744,5.084745762711865,23.076923076923077,0.07123084804237288,122,44,8,12,22,6,277,11,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Center Attacking Midfield,Midfielders
Alexis Ruano Delgado,550,435,115,79.0909090909091,63,26,37,41.269841269841265,278,264,14,94.96402877697841,111,52,59,46.846846846846844,23.797333871217162,2,0,2,0.0,6,0,8,5,1,0,8,Getafe,15,Spain - La Liga,3,1,0,0,2,1,0.0922582494,33.33333333333333,33.33333333333333,100.0,0.030752749800000003,48,26,9,11,22,71,55,45,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Back,Defenders
Alfonso Pedraza Sag,23,14,9,60.86956521739131,0,0,0,0.0,13,10,3,76.92307692307693,1,0,1,0.0,13.076439669422609,1,0,1,0.0,1,0,5,3,3,1,1,Villarreal,2,Spain - La Liga,1,1,0,0,0,0,0.055393353,100.0,0.0,0.0,0.055393353,5,1,0,3,3,0,24,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Midfield,Midfielders
Alfred John Momar N''Diaye,1190,945,245,79.41176470588235,123,71,52,57.72357723577236,727,663,64,91.19669876203577,88,37,51,42.04545454545455,17.866563164098487,8,2,6,25.0,3,0,45,26,7,2,34,Real Betis,34,Spain - La Liga,26,5,11,0,7,2,2.980223289,19.230769230769234,7.6923076923076925,40.0,0.11462397265384615,163,208,59,62,93,67,660,63,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Defensive Midfield,Midfielders
Alhassane Bangoura,313,201,112,64.21725239616613,17,11,6,64.70588235294117,183,143,40,78.14207650273224,30,9,21,30.0,15.64036673774032,50,13,37,26.0,14,1,63,31,36,17,14,Rayo Vallecano,16,Spain - La Liga,18,5,9,0,4,0,0.6770872985999999,27.77777777777778,0.0,0.0,0.03761596103333333,50,34,12,20,14,4,137,7,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Wing,Forwards
Alphonse Areola,861,481,380,55.86527293844367,86,22,64,25.581395348837212,179,178,1,99.4413407821229,591,220,371,37.22504230118444,46.5510002331763,0,0,0,0.0,0,0,1,1,0,0,8,Villarreal,32,Spain - La Liga,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,160,0,0,1,2,1,2,0,25,1,1,24,2,50.0,82,77.35849056603774,57,1,0,6,3,4,11,Goalkeeper,Goalkeepers
Anaitz Arbilla Zabala,421,329,92,78.14726840855107,57,30,27,52.63157894736842,231,200,31,86.58008658008657,52,23,29,44.230769230769226,17.848532746129596,7,2,5,28.57142857142857,7,0,10,6,2,1,8,Espanyol,7,Spain - La Liga,7,2,0,0,4,0,0.347926367,28.57142857142857,0.0,0.0,0.04970376671428572,30,29,19,16,14,20,98,13,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Back,Defenders
Ander Capa Rodríguez,1818,1137,681,62.541254125412536,337,149,188,44.21364985163205,690,561,129,81.30434782608695,352,99,253,28.125,19.96805353311295,77,21,56,27.27272727272727,16,4,59,34,27,17,32,Eibar,36,Spain - La Liga,16,5,2,0,8,2,0.7176787920000001,31.25,12.5,40.0,0.044854924500000004,190,131,60,59,63,89,466,107,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Back,Defenders
Ander Gayoso Reina,6,4,2,66.66666666666666,1,0,1,0.0,2,2,0,100.0,2,0,2,0.0,24.9620618868,0,0,0,0.0,0,0,0,0,0,0,1,Eibar,1,Spain - La Liga,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Back,Defenders
