index,player,recoveries,duels,duels_won,fouls_committed,shot_blocked,clearances,pressure,interceptions,team,MP,competition
211,Iker Muniain Goñi,72,33,11,6,10,7,142,14,Athletic Club,20,Spain - La Liga
212,Imanol Agirretxe Arruti,28,78,2,10,10,9,157,5,Real Sociedad,16,Spain - La Liga
213,Isaac Ajayi Success,100,101,16,57,36,16,332,21,Granada,30,Spain - La Liga
214,Ismael López Blanco,131,98,48,28,57,61,415,55,Sporting Gijón,31,Spain - La Liga
215,Ivan Rakitić,140,81,36,44,39,28,480,31,Barcelona,36,Spain - La Liga
216,Iván Cuéllar Sacristán,161,0,0,1,1,1,3,0,Sporting Gijón,32,Spain - La Liga
217,Iván López Mendoza,41,48,22,19,26,29,130,17,Levante UD,13,Spain - La Liga
218,Iván Ramis Barrios,75,63,10,18,24,114,124,38,Eibar,23,Spain - La Liga
219,Izet Hajrović,8,4,2,4,5,1,47,1,Eibar,7,Spain - La Liga
220,Iñaki Williams Arthuer,85,60,15,22,36,3,287,16,Athletic Club,25,Spain - La Liga
221,Iñigo Barrenetxea García,1,2,0,0,0,0,3,0,Eibar,2,Spain - La Liga
222,Jackson Arley Martínez Valencia,20,46,3,23,14,6,112,6,Atlético Madrid,15,Spain - La Liga
223,James David Rodríguez Rubio,81,53,21,16,25,6,307,23,Real Madrid,26,Spain - La Liga
224,Jan Oblak,133,0,0,0,1,2,0,0,Atlético Madrid,38,Spain - La Liga
225,Jaume Doménech Sánchez,66,0,0,0,0,1,1,0,Valencia,17,Spain - La Liga
226,Jaume Vicent Costa Jordá,55,79,26,25,57,34,195,47,Villarreal,18,Spain - La Liga
227,Javi Castellano Betancor,5,5,2,2,2,5,18,4,Las Palmas,1,Spain - La Liga
228,Javier Alejandro Mascherano,103,105,44,31,69,106,354,38,Barcelona,32,Spain - La Liga
229,Javier Eraso Goñi,33,18,0,8,13,7,225,8,Athletic Club,16,Spain - La Liga
230,Javier Fuego Martínez,121,104,39,63,51,34,581,48,Valencia,26,Spain - La Liga
231,Javier Garrido Behovide,51,39,13,16,41,57,146,24,Las Palmas,18,Spain - La Liga
232,Javier Guerra Rodríguez,54,181,18,47,35,9,374,10,Rayo Vallecano,30,Spain - La Liga
233,Javier López Rodríguez,128,131,53,57,50,80,440,66,Espanyol,31,Spain - La Liga
234,Javier Márquez Moreno,64,71,28,37,30,26,326,18,Granada,19,Spain - La Liga
235,Javier Ontiveros Parra,9,5,3,5,1,0,17,1,Málaga,4,Spain - La Liga
236,Javier Varas Herrera,173,0,0,2,0,2,7,0,Las Palmas,31,Spain - La Liga
237,Jean-Sylvain Claude Babin,41,93,12,15,36,151,147,38,Granada,25,Spain - La Liga
238,Jefferson Andrés Lerma Solís,152,112,35,55,42,59,474,53,Levante UD,33,Spain - La Liga
239,Jerónimo Figueroa Cabrera,77,38,17,13,20,7,211,28,Las Palmas,23,Spain - La Liga
240,Jesé Rodríguez Ruiz,42,30,15,14,11,3,121,10,Real Madrid,28,Spain - La Liga
241,Jesús Fernández Collado,3,0,0,0,0,0,0,0,Granada,1,Spain - La Liga
242,Jesús Gámez Duarte,13,29,14,7,24,28,117,20,Atlético Madrid,10,Spain - La Liga
243,Joan Jordán Moreno,26,31,12,19,15,11,160,10,Espanyol,9,Spain - La Liga
244,Joan Verdú Fernández,55,23,9,8,17,5,138,11,Levante UD,13,Spain - La Liga
245,Joaquín José Marín Ruiz,95,150,62,45,49,57,426,50,Rayo Vallecano,27,Spain - La Liga
246,Joaquín Sánchez Rodríguez,116,90,20,13,36,20,251,22,Real Betis,30,Spain - La Liga
247,John Guidetti,42,85,9,32,17,3,263,6,Celta Vigo,35,Spain - La Liga
248,Jon Ansotegi Gorostola,3,18,5,5,4,39,50,11,Eibar,8,Spain - La Liga
249,Jon Bautista Orgilles,1,7,3,5,0,2,35,1,Real Sociedad,4,Spain - La Liga
250,Jonathan Castro Otto,139,133,43,49,81,74,560,93,Celta Vigo,36,Spain - La Liga
251,Jonathan Javier Rodríguez Portillo,18,38,6,16,6,3,106,4,RC Deportivo La Coruña,13,Spain - La Liga
252,Jonathan Rodríguez Menéndez,139,78,26,38,58,7,463,47,Sporting Gijón,36,Spain - La Liga
253,Jonathan Viera Ramos,157,116,39,32,49,15,654,30,Las Palmas,36,Spain - La Liga
254,Jonathan dos Santos Ramírez,106,97,35,38,46,21,447,35,Villarreal,26,Spain - La Liga
255,Jonathas Cristian de Jesus,36,107,15,43,31,15,308,8,Real Sociedad,27,Spain - La Liga
256,Jonhatan Montiel Caballero,19,5,1,5,1,2,47,1,Rayo Vallecano,8,Spain - La Liga
257,Jonás Manuel Gutiérrez,27,28,11,8,13,5,107,11,RC Deportivo La Coruña,15,Spain - La Liga
258,Jordi Alba Ramos,136,69,31,22,64,77,304,41,Barcelona,31,Spain - La Liga
259,Jordi Figueras Montel,2,9,1,2,5,13,22,4,Real Betis,3,Spain - La Liga
260,Jordi Xumetra Feliu,24,22,2,13,11,1,95,0,Levante UD,13,Spain - La Liga
261,Jorge Andújar Moreno,60,80,23,35,40,35,274,33,Sevilla,22,Spain - La Liga
262,Jorge Franco Alviz,39,29,12,8,22,2,139,8,Espanyol,26,Spain - La Liga
263,Jorge Meré Pérez,71,112,31,22,35,122,219,47,Sporting Gijón,25,Spain - La Liga
264,Jorge Molina Vidal,31,87,8,15,12,5,129,2,Real Betis,23,Spain - La Liga
265,Jorge Resurrección Merodio,177,143,58,43,56,30,667,47,Atlético Madrid,35,Spain - La Liga
266,Joseba Zaldúa Bengoetxea,34,45,13,25,15,37,159,19,Real Sociedad,13,Spain - La Liga
267,Josep Señé Escudero,16,13,3,8,11,1,68,2,Celta Vigo,9,Spain - La Liga
268,Josip Radošević,30,24,11,20,11,7,145,10,Eibar,8,Spain - La Liga
269,José Alberto Cañas Ruiz Herrera,43,27,8,15,20,12,135,15,Espanyol,13,Spain - La Liga
270,José Antonio Dorado Ramírez,10,18,7,8,12,13,40,6,Rayo Vallecano,10,Spain - La Liga
271,José Antonio García Rabasco,117,68,36,43,33,31,449,34,Levante UD,29,Spain - La Liga
272,José Antonio Reyes Calderón,70,45,10,27,35,8,308,13,Sevilla,24,Spain - La Liga
273,José Eduardo Rosa Vale de Castro,97,101,20,23,32,100,183,40,Rayo Vallecano,22,Spain - La Liga
274,José Ignacio Fernández Iglesias,35,35,11,18,30,50,110,26,Real Madrid,16,Spain - La Liga
275,José Ignacio Martínez García,67,95,30,34,52,47,314,37,Rayo Vallecano,22,Spain - La Liga
276,José Ignacio Peleteiro Ramallo,51,31,8,23,22,0,153,6,Eibar,13,Spain - La Liga
277,José Joaquín Matos García,2,5,3,0,1,3,15,0,Sevilla,1,Spain - La Liga
278,José Luis García del Pozo,184,144,56,80,61,31,590,43,Málaga,33,Spain - La Liga
279,José Luis Gayà Peña,54,72,29,14,22,36,222,19,Valencia,20,Spain - La Liga
280,José Luis Morales Nogales,146,86,17,23,60,13,509,43,Levante UD,35,Spain - La Liga
281,José María Giménez de Vargas,79,93,34,28,46,143,252,43,Atlético Madrid,27,Spain - La Liga
282,José María Martín-Bejarano Serrano,50,57,13,23,12,20,143,17,Levante UD,12,Spain - La Liga
283,José Raúl Baena Urdiales,90,88,26,48,40,39,398,33,Rayo Vallecano,24,Spain - La Liga
284,José Vicente Gómez Umpiérrez,75,87,23,29,22,30,249,20,Las Palmas,21,Spain - La Liga
285,José Ángel Crespo Rincón,17,47,14,15,13,33,119,22,Rayo Vallecano,9,Spain - La Liga
286,Jozabed Sánchez Ruiz,114,67,21,22,30,20,408,25,Rayo Vallecano,27,Spain - La Liga
287,João Pedro Cavaco Cancelo,119,98,37,46,46,50,340,62,Valencia,28,Spain - La Liga
288,Juan Antonio Rodríguez Villamuela,104,127,34,59,52,64,456,67,Getafe,32,Spain - La Liga
289,Juan Carlos Martín Corral,105,0,0,1,0,1,2,0,Rayo Vallecano,21,Spain - La Liga
290,Juan Carlos Pérez López,46,61,14,22,37,20,156,23,Málaga,19,Spain - La Liga
291,Juan Carlos Valerón Santana,18,11,0,1,4,4,33,3,Las Palmas,13,Spain - La Liga
292,Juan Domínguez Lamas,5,16,5,5,8,2,71,2,RC Deportivo La Coruña,5,Spain - La Liga
293,Juan Emmanuel Culio,47,33,14,16,15,3,124,11,Las Palmas,12,Spain - La Liga
294,Juan Francisco García García,72,50,23,19,28,54,143,35,Levante UD,21,Spain - La Liga
295,Juan Francisco Moreno Fuertes,164,104,36,13,66,69,326,83,RC Deportivo La Coruña,35,Spain - La Liga
296,Juan Francisco Torres Belén,172,83,33,45,73,58,315,69,Atlético Madrid,35,Spain - La Liga
297,Juan Isaac Cuenca López,41,25,7,9,18,1,132,12,Granada,12,Spain - La Liga
298,Juan Manuel Vargas Risco,101,43,10,28,43,67,130,39,Real Betis,20,Spain - La Liga
299,Juan Muñiz Gallego,2,6,0,4,2,1,25,1,Sporting Gijón,4,Spain - La Liga
300,Juan Muñoz Muñoz,5,12,4,4,4,1,60,0,Sevilla,8,Spain - La Liga
301,Juan Pablo Añor Acosta,113,61,14,27,45,12,391,26,Málaga,29,Spain - La Liga
302,Juan Rafael Fuentes Hernández,25,33,7,9,19,33,92,11,Espanyol,10,Spain - La Liga
303,Juan Torres Ruiz,81,79,33,36,37,109,223,52,Getafe,22,Spain - La Liga
304,Jérémy Mathieu,36,33,10,8,27,62,90,19,Barcelona,21,Spain - La Liga
305,Karim Benzema,57,51,7,17,15,13,226,6,Real Madrid,27,Spain - La Liga
306,Kevin Gameiro,70,96,12,15,19,11,328,13,Sevilla,31,Spain - La Liga
307,Keylor Navas Gamboa,145,0,0,2,0,2,4,0,Real Madrid,34,Spain - La Liga
