index,player,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,team,MP,competition
57,Borja González Tomás,94,42,27,1,18,18,16.8726144725,44.680851063829785,19.148936170212767,42.857142857142854,0.17949589864361704,Eibar,34,Spain - La Liga
58,Borja Mayoral Moya,3,2,0,0,0,0,0.18336825099999998,66.66666666666666,0.0,0.0,0.06112275033333333,Real Madrid,2,Spain - La Liga
59,Borja Viguera Manzanares,7,2,3,0,1,0,1.045676658,28.57142857142857,0.0,0.0,0.14938237971428572,Athletic Club,5,Spain - La Liga
60,Bruno González Cabrera,17,3,7,0,5,0,1.076868629,17.647058823529413,0.0,0.0,0.06334521347058823,Real Betis,14,Spain - La Liga
61,Bruno Soriano Llido,25,9,8,1,6,5,3.8251735129999997,36.0,20.0,55.55555555555556,0.15300694052,Villarreal,15,Spain - La Liga
62,Carl Medjani,6,2,4,0,0,1,0.54010925,33.33333333333333,16.666666666666664,50.0,0.09001820833333334,Levante UD,6,Spain - La Liga
63,Carles Planas Antolínez,3,1,2,0,0,0,0.15004844900000003,33.33333333333333,0.0,0.0,0.050016149666666676,Celta Vigo,3,Spain - La Liga
64,Carlos Alberto Vela Garrido,61,20,25,2,14,5,8.068021599,32.78688524590164,8.19672131147541,25.0,0.13226264916393443,Real Sociedad,29,Spain - La Liga
65,Carlos Carmona Bonet,15,5,4,0,3,2,2.6045733423,33.33333333333333,13.333333333333334,40.0,0.17363822282000002,Sporting Gijón,10,Spain - La Liga
66,Carlos Castro García,25,12,2,2,9,7,5.360134525,48.0,28.000000000000004,58.333333333333336,0.214405381,Sporting Gijón,14,Spain - La Liga
67,Carlos Gurpegi Nausia,5,0,2,0,0,0,0.293443836,0.0,0.0,0.0,0.058688767200000005,Athletic Club,4,Spain - La Liga
68,Carlos Henrique Casimiro,20,3,11,0,6,1,1.0785193644,15.0,5.0,33.33333333333333,0.053925968219999995,Real Madrid,10,Spain - La Liga
69,Carlos Martín Vigaray,4,3,1,0,0,1,0.293112745,75.0,25.0,33.33333333333333,0.07327818625,Getafe,2,Spain - La Liga
70,Carlos Martínez Díez,3,0,2,1,0,0,0.1943658597,0.0,0.0,0.0,0.0647886199,Real Sociedad,2,Spain - La Liga
71,Celso Borges Mora,20,8,5,0,4,3,2.718280613,40.0,15.0,37.5,0.13591403065000002,RC Deportivo La Coruña,15,Spain - La Liga
72,Charles Días Barbosa de Oliveira,86,39,18,2,17,12,10.830982918,45.348837209302324,13.953488372093023,30.76923076923077,0.1259416618372093,Málaga,32,Spain - La Liga
73,Charly Musonda Junior,14,6,3,0,4,1,0.672990705,42.857142857142854,7.142857142857142,16.666666666666664,0.048070764642857144,Real Betis,9,Spain - La Liga
74,Christian Atsu Twasam,9,6,3,0,0,2,1.258855359,66.66666666666666,22.22222222222222,33.33333333333333,0.13987281766666668,Málaga,7,Spain - La Liga
75,Ciro Immobile,14,6,5,0,3,2,2.585423243,42.857142857142854,14.285714285714285,33.33333333333333,0.18467308878571428,Sevilla,5,Spain - La Liga
76,Claudio Beauvue,11,4,5,0,1,1,1.0845382465,36.36363636363637,9.090909090909092,25.0,0.09859438604545455,Celta Vigo,6,Spain - La Liga
77,Claudio Matías Kranevitter,1,0,0,0,1,0,0.031144707,0.0,0.0,0.0,0.031144707,Atlético Madrid,1,Spain - La Liga
78,Cristiano Biraghi,11,1,6,0,2,0,0.14334882999999998,9.090909090909092,0.0,0.0,0.013031711818181817,Granada,10,Spain - La Liga
79,Cristiano Piccini,14,3,4,0,5,0,0.4584426865,21.428571428571427,0.0,0.0,0.03274590617857143,Real Betis,10,Spain - La Liga
80,Cristiano Ronaldo dos Santos Aveiro,228,97,73,7,39,35,31.9684259918,42.54385964912281,15.350877192982457,36.08247422680412,0.1402123947008772,Real Madrid,36,Spain - La Liga
81,Cédric Bakambu,49,26,15,0,8,12,9.37201188,53.06122448979592,24.489795918367346,46.15384615384615,0.19126554857142858,Villarreal,22,Spain - La Liga
82,Damián Nicolás Suárez Suárez,9,2,4,0,2,0,0.2029115453,22.22222222222222,0.0,0.0,0.022545727255555554,Getafe,8,Spain - La Liga
83,Dani Castellano Betancor,8,2,4,0,2,0,0.35396272900000003,25.0,0.0,0.0,0.044245341125000004,Las Palmas,7,Spain - La Liga
84,Daniel Alves da Silva,16,4,5,1,5,0,0.665335579,25.0,0.0,0.0,0.0415834736875,Barcelona,10,Spain - La Liga
85,Daniel Arnaud N''Di	,12,4,5,0,2,1,1.714392993,33.33333333333333,8.333333333333332,25.0,0.14286608274999998,Sporting Gijón,9,Spain - La Liga
86,Daniel Carvajal Ramos,8,0,6,0,1,0,0.407570095,0.0,0.0,0.0,0.050946261875,Real Madrid,7,Spain - La Liga
87,Daniel Ceballos Fernández,17,3,7,1,6,0,0.7154775614,17.647058823529413,0.0,0.0,0.042086915376470586,Real Betis,12,Spain - La Liga
88,Daniel Filipe Martins Carriço,7,3,4,0,0,1,1.052343279,42.857142857142854,14.285714285714285,33.33333333333333,0.15033475414285716,Sevilla,5,Spain - La Liga
89,Daniel García Carrillo,20,4,7,0,6,0,1.297457007,20.0,0.0,0.0,0.06487285035,Eibar,13,Spain - La Liga
90,Daniel Parejo Muñoz,46,20,12,2,12,8,4.5968741892,43.47826086956522,17.391304347826086,40.0,0.09993204759130435,Valencia,26,Spain - La Liga
91,Daniel Wass,49,13,22,1,12,2,4.2581358295,26.53061224489796,4.081632653061225,15.384615384615385,0.08690073121428571,Celta Vigo,26,Spain - La Liga
92,Daniele Bonera,2,1,1,0,0,0,0.187640244,50.0,0.0,0.0,0.093820122,Villarreal,2,Spain - La Liga
93,Danilo Barbosa da Silva,16,3,7,0,6,0,0.876247253,18.75,0.0,0.0,0.0547654533125,Valencia,9,Spain - La Liga
94,Danilo Luiz da Silva,18,6,8,0,4,2,0.958600025,33.33333333333333,11.11111111111111,33.33333333333333,0.05325555694444444,Real Madrid,13,Spain - La Liga
95,David Barral Torres,17,4,2,2,7,0,1.985814698,23.52941176470588,0.0,0.0,0.11681262929411765,Granada,10,Spain - La Liga
96,David Carmona Sierra,1,0,0,0,1,0,0.018405778,0.0,0.0,0.0,0.018405778,Sevilla,1,Spain - La Liga
97,David García Santana,9,3,2,0,2,2,0.849670647,33.33333333333333,22.22222222222222,66.66666666666666,0.09440784966666665,Las Palmas,7,Spain - La Liga
98,David Goldar Gómez,1,0,0,0,1,0,0.02429235,0.0,0.0,0.0,0.02429235,Celta Vigo,1,Spain - La Liga
99,David Juncà Reñé,9,0,3,0,5,0,0.3303019975,0.0,0.0,0.0,0.036700221944444444,Eibar,6,Spain - La Liga
100,David Navarro Pedrós,8,3,4,0,1,0,0.655677226,37.5,0.0,0.0,0.08195965325,Levante UD,6,Spain - La Liga
101,David Rodríguez Lombán,12,2,5,1,2,0,0.906136307,16.666666666666664,0.0,0.0,0.07551135891666667,Granada,11,Spain - La Liga
102,David Simón Rodríguez Santana,12,6,2,1,2,1,1.124173401,50.0,8.333333333333332,16.666666666666664,0.09368111675,Las Palmas,11,Spain - La Liga
103,David Zurutuza Veillet,19,8,5,0,6,1,1.6942070004,42.10526315789473,5.263157894736842,12.5,0.08916878949473685,Real Sociedad,10,Spain - La Liga
104,Dejan Dražić,1,0,1,0,0,0,0.08492896,0.0,0.0,0.0,0.08492896,Celta Vigo,1,Spain - La Liga
105,Denis Cheryshev,14,5,4,0,4,3,1.240559011,35.714285714285715,21.428571428571427,60.0,0.08861135792857143,Valencia,6,Spain - La Liga
106,Denis Suárez Fernández,37,16,11,1,9,4,3.0456727965,43.24324324324324,10.81081081081081,25.0,0.08231548098648649,Villarreal,23,Spain - La Liga
107,Deyverson Brum Silva Acosta,72,30,21,2,9,9,8.329647913,41.66666666666667,12.5,30.0,0.11568955434722222,Levante UD,27,Spain - La Liga
108,Didier Digard,2,1,0,0,1,0,0.0223828234,50.0,0.0,0.0,0.0111914117,Real Betis,2,Spain - La Liga
109,Diego Antonio Reyes Rosales,11,2,3,2,2,2,1.540850529,18.181818181818183,18.181818181818183,100.0,0.14007732081818183,Real Sociedad,11,Spain - La Liga
110,Diego González Polanco,2,2,0,0,0,1,0.31340444,100.0,50.0,50.0,0.15670222,Sevilla,2,Spain - La Liga
