index,player,total_passes,total_completed,total_uncompleted,total_percentage%,f3_passes,f3_completed,f3_uncompleted,f3_percentage%,short_passes,short_completed,short_uncompleted,short_percentage%,long_passes,long_completed,long_uncompleted,long_percentage%,average_pass_length,crosses,crosses_completed,crosses_uncompleted,crosses_percentage%,total_shot_assists,total_goal_assists,dribbles,dribbles_completed,dribbles_f3,dribbles_f3_completed,fouls_won,team,MP,competition
10,Adrián López Álvarez,345,229,116,66.3768115942029,31,15,16,48.38709677419355,206,168,38,81.55339805825243,11,6,5,54.54545454545454,13.490014271455305,10,5,5,50.0,13,4,24,9,10,5,12,Villarreal,16,Spain - La Liga
11,Adrián Marín Gómez,545,412,133,75.59633027522936,52,30,22,57.692307692307686,277,244,33,88.08664259927798,56,20,36,35.714285714285715,18.123017474860184,14,5,9,35.714285714285715,6,0,17,8,10,3,5,Villarreal,11,Spain - La Liga
12,Ager Aketxe Barrutia,95,70,25,73.68421052631578,12,9,3,75.0,52,47,5,90.38461538461539,15,7,8,46.666666666666664,16.01581880743579,5,0,5,0.0,1,0,2,1,1,1,3,Athletic Club,3,Spain - La Liga
13,Alberto De La Bella Madureño,808,599,209,74.13366336633663,84,53,31,63.095238095238095,362,320,42,88.39779005524862,97,31,66,31.958762886597935,18.26186072253193,38,8,30,21.052631578947366,8,0,10,5,7,4,16,Real Sociedad,15,Spain - La Liga
14,Alberto García Cabrera,206,102,104,49.51456310679612,43,8,35,18.6046511627907,49,48,1,97.95918367346938,137,35,102,25.547445255474454,49.08030286358447,0,0,0,0.0,0,0,0,0,0,0,1,Sporting Gijón,6,Spain - La Liga
15,Alberto Guitián Ceballos,28,17,11,60.71428571428571,5,1,4,20.0,3,3,0,100.0,8,3,5,37.5,27.05280711456857,0,0,0,0.0,0,0,1,1,0,0,0,Sporting Gijón,1,Spain - La Liga
16,Alberto Lopo García,342,262,80,76.60818713450293,48,16,32,33.33333333333333,171,165,6,96.49122807017544,58,15,43,25.862068965517242,24.87828205783579,0,0,0,0.0,1,0,1,1,0,0,6,RC Deportivo La Coruña,10,Spain - La Liga
17,Alberto Lora Ramos,1333,999,334,74.94373593398349,177,90,87,50.847457627118644,687,633,54,92.13973799126637,171,44,127,25.730994152046783,18.617105722112317,37,12,25,32.432432432432435,17,3,19,11,10,6,27,Sporting Gijón,31,Spain - La Liga
18,Alberto Mateus Contreiras Gonçalves,241,155,86,64.31535269709543,36,14,22,38.88888888888889,97,91,6,93.81443298969072,7,3,4,42.857142857142854,13.716783259863236,6,1,5,16.666666666666664,8,1,12,6,9,4,18,Rayo Vallecano,28,Spain - La Liga
19,Aleix Vidal Parreu,451,386,65,85.58758314855875,36,25,11,69.44444444444444,292,275,17,94.17808219178082,19,9,10,47.368421052631575,16.123091703161506,12,1,11,8.333333333333332,3,1,6,2,1,0,6,Barcelona,9,Spain - La Liga
