index,player,recoveries,duels,duels_won,fouls_committed,shot_blocked,clearances,pressure,interceptions,team,MP,competition
160,Janek Sternberg,19,15,4,11,14,15,96,9,Werder Bremen,9,Germany - 1. Bundesliga
161,Jannik Vestergaard,128,152,41,25,72,217,343,41,Werder Bremen,33,Germany - 1. Bundesliga
162,Jaroslav Drobný,46,0,0,0,0,0,0,0,Hamburger SV,10,Germany - 1. Bundesliga
163,Javier Hernández Balcázar,53,85,8,26,16,4,261,6,Bayer Leverkusen,28,Germany - 1. Bundesliga
164,Javier Martínez Aginaga,42,44,18,16,20,37,119,12,Bayern Munich,16,Germany - 1. Bundesliga
165,Jean-Eric Maxim Choupo-Moting,104,97,16,47,43,24,315,19,Schalke 04,28,Germany - 1. Bundesliga
166,Jeffrey Gouweleeuw,24,51,12,17,25,64,121,9,Augsburg,11,Germany - 1. Bundesliga
167,Jens Grahl,1,0,0,0,0,0,1,0,Hoffenheim,1,Germany - 1. Bundesliga
168,Jens Hegeler,15,42,9,16,11,12,122,6,Hertha Berlin,15,Germany - 1. Bundesliga
169,Jeong-Ho Hong,60,67,15,24,44,129,156,16,Augsburg,23,Germany - 1. Bundesliga
170,Jeremy Toljan,70,56,12,5,66,38,180,24,Hoffenheim,18,Germany - 1. Bundesliga
171,Jhon Andrés Córdoba Copete,42,110,8,55,15,8,257,1,FSV Mainz 05,22,Germany - 1. Bundesliga
172,Jiloan Hamad,26,13,2,8,6,3,84,2,Hoffenheim,7,Germany - 1. Bundesliga
173,Jin-Su Kim,56,38,7,20,35,53,238,31,Hoffenheim,15,Germany - 1. Bundesliga
174,Joel Gerezgiher,4,2,1,4,4,1,23,3,Eintracht Frankfurt,3,Germany - 1. Bundesliga
175,Joelinton Cassio Apolinário de Lira,2,0,0,0,0,0,0,0,Hoffenheim,1,Germany - 1. Bundesliga
176,Johan Danon Djourou-Gbadjere,79,75,18,42,50,119,226,20,Hamburger SV,26,Germany - 1. Bundesliga
177,Johannes Flum,11,5,2,3,4,1,50,1,Eintracht Frankfurt,5,Germany - 1. Bundesliga
178,Johannes Geis,110,87,31,52,44,45,456,20,Schalke 04,28,Germany - 1. Bundesliga
179,Johannes van den Bergh,12,9,3,3,4,6,61,1,Hertha Berlin,13,Germany - 1. Bundesliga
180,John Anthony Brooks,58,57,18,22,29,118,168,20,Hertha Berlin,22,Germany - 1. Bundesliga
181,Jonas Hector,189,114,31,25,91,94,523,49,FC Köln,32,Germany - 1. Bundesliga
182,Jonas Hofmann,31,18,4,3,5,2,137,3,Borussia Mönchengladbach,15,Germany - 1. Bundesliga
183,Jonathan Schmid,58,52,14,13,44,14,262,17,Hoffenheim,23,Germany - 1. Bundesliga
184,Jonathan Tah,194,86,22,25,57,136,312,49,Bayer Leverkusen,29,Germany - 1. Bundesliga
185,Joo-Ho Park,11,19,9,12,17,8,84,4,Borussia Dortmund,6,Germany - 1. Bundesliga
186,Joshua Kimmich,85,51,14,17,22,21,215,11,Bayern Munich,22,Germany - 1. Bundesliga
187,Josip Drmic,26,61,9,18,16,8,157,9,Hamburger SV,19,Germany - 1. Bundesliga
188,Josuha Guilavogui,132,108,44,63,53,51,535,44,Wolfsburg,30,Germany - 1. Bundesliga
189,Joël Andre Job Matip,101,99,37,56,77,187,322,45,Schalke 04,34,Germany - 1. Bundesliga
190,Juan Bernat Velasco,58,42,9,11,32,24,125,13,Bayern Munich,16,Germany - 1. Bundesliga
191,Julian Baumgartlinger,171,154,56,66,63,77,983,40,FSV Mainz 05,31,Germany - 1. Bundesliga
192,Julian Brandt,83,68,8,12,28,8,354,10,Bayer Leverkusen,29,Germany - 1. Bundesliga
193,Julian Draxler,95,51,5,27,16,8,211,12,Wolfsburg,24,Germany - 1. Bundesliga
194,Julian Korb,35,48,10,25,35,35,218,23,Borussia Mönchengladbach,17,Germany - 1. Bundesliga
195,Julian Schieber,2,10,1,4,1,1,44,1,Hertha Berlin,6,Germany - 1. Bundesliga
196,Julian Weigl,147,86,27,40,42,41,443,23,Borussia Dortmund,30,Germany - 1. Bundesliga
197,Jérôme Boateng,64,28,9,12,18,48,75,13,Bayern Munich,19,Germany - 1. Bundesliga
198,Jérôme Gondorf,185,173,45,67,87,57,852,40,Darmstadt 98,33,Germany - 1. Bundesliga
199,Júnior Enrique Díaz Campbell,21,34,13,14,21,41,130,15,Darmstadt 98,12,Germany - 1. Bundesliga
200,Kaan Ayhan,4,4,1,1,2,5,6,0,Eintracht Frankfurt,2,Germany - 1. Bundesliga
201,Karim Bellarabi,163,82,32,70,60,8,637,22,Bayer Leverkusen,33,Germany - 1. Bundesliga
202,Karim Onisiwo,25,30,6,11,11,2,104,1,FSV Mainz 05,9,Germany - 1. Bundesliga
203,Kazuki Nagasawa,1,3,0,0,1,1,13,1,FC Köln,1,Germany - 1. Bundesliga
204,Kenan Karaman,106,77,17,20,40,16,343,10,Hannover 96,23,Germany - 1. Bundesliga
205,Kevin De Bruyne,8,2,1,4,3,0,29,0,Wolfsburg,2,Germany - 1. Bundesliga
206,Kevin Großkreutz,43,39,10,13,32,25,143,8,VfB Stuttgart,10,Germany - 1. Bundesliga
207,Kevin Kampl,152,63,25,37,53,16,406,26,Bayer Leverkusen,23,Germany - 1. Bundesliga
208,Kevin Kuranyi,13,40,4,20,12,5,114,1,Hoffenheim,14,Germany - 1. Bundesliga
209,Kevin Vogt,74,71,19,29,38,39,405,9,FC Köln,23,Germany - 1. Bundesliga
210,Kevin Volland,132,148,29,73,50,15,695,13,Hoffenheim,33,Germany - 1. Bundesliga
211,Kingsley Coman,76,41,8,13,24,6,292,5,Bayern Munich,23,Germany - 1. Bundesliga
212,Klaas-Jan Huntelaar,39,100,5,58,21,20,491,3,Schalke 04,31,Germany - 1. Bundesliga
213,Koen Casteels,67,0,0,1,0,0,3,0,Wolfsburg,13,Germany - 1. Bundesliga
214,Konstantin Engel,12,4,0,3,4,7,24,8,Ingolstadt,4,Germany - 1. Bundesliga
215,Konstantin Rausch,103,76,15,17,34,31,373,21,Darmstadt 98,31,Germany - 1. Bundesliga
216,Konstantinos Stafylidis,40,32,9,10,27,41,97,15,Augsburg,11,Germany - 1. Bundesliga
217,Kyriakos Papadopoulos,34,58,19,18,25,57,126,13,Bayer Leverkusen,16,Germany - 1. Bundesliga
218,Lars Bender,50,62,21,21,29,23,244,12,Bayer Leverkusen,11,Germany - 1. Bundesliga
219,Lars Edi Stindl,138,134,28,77,61,16,658,11,Borussia Mönchengladbach,30,Germany - 1. Bundesliga
220,Leandro Putaro,1,1,0,1,1,0,6,0,Wolfsburg,4,Germany - 1. Bundesliga
221,Leon Aderemi Balogun,69,91,30,24,42,107,224,41,FSV Mainz 05,21,Germany - 1. Bundesliga
222,Leon Andreasen,45,67,9,28,19,28,218,7,Hannover 96,15,Germany - 1. Bundesliga
223,Leon Goretzka,132,115,41,35,57,50,535,37,Schalke 04,25,Germany - 1. Bundesliga
224,Leon Guwara,5,6,6,3,4,2,22,0,Werder Bremen,1,Germany - 1. Bundesliga
225,Leonardo Bittencourt,81,133,46,59,44,9,781,26,FC Köln,29,Germany - 1. Bundesliga
226,Leroy Sané,139,103,32,39,42,6,558,16,Schalke 04,33,Germany - 1. Bundesliga
227,Levin Mete Öztunali,81,63,11,32,38,8,291,9,Werder Bremen,25,Germany - 1. Bundesliga
228,Lewis Harry Holtby,214,171,68,83,88,50,951,31,Hamburger SV,34,Germany - 1. Bundesliga
229,Loris Karius,185,0,0,0,1,0,6,0,FSV Mainz 05,34,Germany - 1. Bundesliga
230,Luc Castaignos,16,57,5,32,16,1,249,3,Eintracht Frankfurt,19,Germany - 1. Bundesliga
231,Luca Caldirola,67,111,37,45,73,173,484,32,Darmstadt 98,34,Germany - 1. Bundesliga
232,Luca-Milan Zander,4,4,0,0,5,3,18,4,Werder Bremen,2,Germany - 1. Bundesliga
233,Luiz Gustavo Dias,107,68,26,45,31,28,388,20,Wolfsburg,22,Germany - 1. Bundesliga
234,Lukas Fröde,7,15,2,5,1,2,29,1,Werder Bremen,6,Germany - 1. Bundesliga
235,Lukas Hinterseer,76,127,9,32,49,11,482,4,Ingolstadt,28,Germany - 1. Bundesliga
236,Lukas Rupp,160,122,49,39,71,22,706,29,VfB Stuttgart,29,Germany - 1. Bundesliga
237,Lukáš Hrádecký,200,0,0,0,1,1,4,0,Eintracht Frankfurt,34,Germany - 1. Bundesliga
238,László Kleinheisler,15,8,2,6,4,0,45,1,Werder Bremen,6,Germany - 1. Bundesliga
239,Mahmoud Dahoud,142,86,39,63,54,32,604,25,Borussia Mönchengladbach,32,Germany - 1. Bundesliga
240,Makoto Hasebe,155,116,40,41,80,55,504,21,Eintracht Frankfurt,32,Germany - 1. Bundesliga
241,Manuel Neuer,140,0,0,0,1,1,1,0,Bayern Munich,34,Germany - 1. Bundesliga
242,Manuel Schmiedebach,133,90,31,48,53,19,542,37,Hannover 96,22,Germany - 1. Bundesliga
243,Marc Stendera,146,129,57,54,61,16,746,26,Eintracht Frankfurt,26,Germany - 1. Bundesliga
244,Marcel  Hilßner,1,0,0,0,2,0,7,0,Werder Bremen,1,Germany - 1. Bundesliga
245,Marcel Hartel,10,1,0,1,2,2,23,0,FC Köln,6,Germany - 1. Bundesliga
246,Marcel Heller,158,169,35,46,48,21,647,25,Darmstadt 98,33,Germany - 1. Bundesliga
247,Marcel Risse,157,112,57,36,55,35,537,42,FC Köln,33,Germany - 1. Bundesliga
248,Marcel Schmelzer,71,86,23,25,45,60,336,19,Borussia Dortmund,26,Germany - 1. Bundesliga
249,Marcel Schäfer,54,41,12,11,19,24,156,4,Wolfsburg,21,Germany - 1. Bundesliga
250,Marcelo Alfonso Díaz Rojas,34,15,3,8,6,6,103,4,Hamburger SV,11,Germany - 1. Bundesliga
251,Marcelo Antônio Guedes Filho,82,57,16,25,34,131,164,26,Hannover 96,19,Germany - 1. Bundesliga
252,Marco Höger,15,16,5,5,4,3,39,0,Schalke 04,5,Germany - 1. Bundesliga
253,Marco Jhonfai Fabián De La Mora,45,61,9,22,23,2,214,6,Eintracht Frankfurt,11,Germany - 1. Bundesliga
254,Marco Reus,68,51,16,22,32,5,343,3,Borussia Dortmund,26,Germany - 1. Bundesliga
255,Marco Russ,98,109,21,24,51,109,228,27,Eintracht Frankfurt,28,Germany - 1. Bundesliga
256,Marco Sailer,9,37,1,12,5,5,139,2,Darmstadt 98,14,Germany - 1. Bundesliga
257,Mario Götze,30,33,13,24,15,2,246,4,Bayern Munich,14,Germany - 1. Bundesliga
258,Mario Vrančić,44,66,14,31,24,7,269,5,Darmstadt 98,22,Germany - 1. Bundesliga
