index,player,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,team,MP,competition
36,Bas Dost,41,15,15,0,5,8,7.740265011,36.58536585365854,19.51219512195122,53.333333333333336,0.1887869514878049,Wolfsburg,16,Germany - 1. Bundesliga
37,Bastian Oczipka,10,3,6,0,1,0,0.3810656807,30.0,0.0,0.0,0.03810656807,Eintracht Frankfurt,9,Germany - 1. Bundesliga
38,Benedikt Höwedes,8,2,4,0,1,1,0.6882499599999999,25.0,12.5,50.0,0.08603124499999999,Schalke 04,7,Germany - 1. Bundesliga
39,Benjamin Hübner,19,3,12,1,2,1,1.974584848,15.789473684210526,5.263157894736842,33.33333333333333,0.10392551831578947,Ingolstadt,17,Germany - 1. Bundesliga
40,Borys Tashchy,2,0,0,0,1,0,0.132252196,0.0,0.0,0.0,0.066126098,VfB Stuttgart,1,Germany - 1. Bundesliga
41,Branimir Hrgota,2,0,1,0,1,0,0.17107038000000002,0.0,0.0,0.0,0.08553519000000001,Borussia Mönchengladbach,2,Germany - 1. Bundesliga
42,Bruno Henrique Pinto,4,1,2,0,1,0,0.365861355,25.0,0.0,0.0,0.09146533875,Wolfsburg,3,Germany - 1. Bundesliga
43,Caiuby Francisco da Silva,67,25,20,1,12,4,4.0603636716,37.3134328358209,5.970149253731343,16.0,0.0606024428597015,Augsburg,25,Germany - 1. Bundesliga
44,Carlos Augusto Zambrano Ochandarte,3,1,1,0,1,0,0.311997384,33.33333333333333,0.0,0.0,0.103999128,Eintracht Frankfurt,3,Germany - 1. Bundesliga
45,Ceyhun Gülselam,16,4,7,1,3,0,0.44814303359999996,25.0,0.0,0.0,0.028008939599999998,Hannover 96,9,Germany - 1. Bundesliga
46,Charles Mariano Aránguiz Sandoval,12,3,2,2,2,2,1.412958444,25.0,16.666666666666664,66.66666666666666,0.117746537,Bayer Leverkusen,4,Germany - 1. Bundesliga
